system,accuracy,precision,recall,f1,roc_auc,num_features
all_evidence,0.9288888888888889,0.8241758241758241,1.0,0.9036144578313253,0.9507138888888889,9
execution_full_only,0.9288888888888889,0.8241758241758241,1.0,0.9036144578313253,0.9466666666666667,1
static_plus_full_execution,0.9288888888888889,0.8241758241758241,1.0,0.9036144578313253,0.950075,8
execution_example_only,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9241666666666666,1
static_plus_example_execution,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9304,8
ast_only,0.6655555555555556,0.4972972972972973,0.30666666666666664,0.37938144329896906,0.6967944444444445,1
static_only,0.6677777777777778,0.5032258064516129,0.26,0.34285714285714286,0.7215027777777777,7
identifier_only,0.6677777777777778,0.5050505050505051,0.16666666666666666,0.2506265664160401,0.7127166666666667,1
retrieval_only,0.6688888888888889,0.5142857142857142,0.12,0.1945945945945946,0.6155444444444444,1
api_only,0.6666666666666666,0.0,0.0,0.0,0.5884055555555555,1
syntax_only,0.6666666666666666,0.0,0.0,0.0,0.5,1
cfg_only,0.6666666666666666,0.0,0.0,0.0,0.6160111111111114,1
