system,accuracy,precision,recall,f1,roc_auc,num_features
execution_full_only,0.9288888888888889,0.8241758241758241,1.0,0.9036144578313253,0.9466666666666667,1
static_plus_full_execution,0.9288888888888889,0.8241758241758241,1.0,0.9036144578313253,0.9478194444444444,8
all_evidence,0.9288888888888889,0.8241758241758241,1.0,0.9036144578313253,0.9493361111111112,9
example_without_ast_similarity,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9318666666666666,7
static_plus_example_execution,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9307,8
example_without_api_similarity,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9306277777777777,7
example_without_retrieval_similarity,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9318333333333334,7
example_without_identifier_similarity,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9279222222222223,7
example_without_control_flow_similarity,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9319166666666667,7
execution_example_only,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9241666666666666,1
example_without_length_ratio,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.931011111111111,7
example_without_syntax_proxy,0.9122222222222223,0.8112676056338028,0.96,0.8793893129770992,0.9260944444444443,7
static_only,0.7111111111111111,0.6136363636363636,0.36,0.453781512605042,0.8108083333333334,7
static_without_api_similarity,0.7111111111111111,0.6136363636363636,0.36,0.453781512605042,0.8106083333333333,6
static_without_retrieval_similarity,0.7088888888888889,0.611764705882353,0.3466666666666667,0.4425531914893617,0.8001,6
static_without_ast_similarity,0.7077777777777777,0.6081871345029239,0.3466666666666667,0.4416135881104034,0.8139194444444445,6
static_without_length_ratio,0.7077777777777777,0.6094674556213018,0.3433333333333333,0.43923240938166314,0.8110638888888888,6
static_without_control_flow_similarity,0.7066666666666667,0.6111111111111112,0.33,0.42857142857142855,0.8183361111111112,6
static_without_identifier_similarity,0.6955555555555556,0.6,0.26,0.3627906976744186,0.7336361111111112,6
static_without_syntax_proxy,0.6688888888888889,0.509090909090909,0.18666666666666668,0.2731707317073171,0.7141138888888888,6
identifier_only,0.6677777777777778,0.5050505050505051,0.16666666666666666,0.2506265664160401,0.7127166666666667,1
retrieval_only,0.6688888888888889,0.5142857142857142,0.12,0.1945945945945946,0.6155444444444444,1
api_only,0.6666666666666666,0.0,0.0,0.0,0.5884055555555555,1
cfg_only,0.6666666666666666,0.0,0.0,0.0,0.6160111111111114,1
syntax_only,0.6666666666666666,0.0,0.0,0.0,0.5891666666666666,1
ast_only,0.6666666666666666,0.0,0.0,0.0,0.5466722222222222,1
